feature_1,feature_2,feature_3,feature_4,feature_5,label
0.62031333,0.69591408,0.61465101,0.06103752,0.40596324,2
0.92006696,0.75365019,0.42576882,0.09869788,0.33468726,1
0.36059160,0.10360948,0.28730496,0.41289525,0.83197157,2
0.88928195,0.63395697,0.84352668,0.42652537,0.12209780,2
0.84425509,0.53683044,0.88638011,0.18869794,0.85934086,2
0.42280666,0.76895518,0.10480210,0.42279071,0.05989112,2
0.75261894,0.94484235,0.60880024,0.01042731,0.26590391,2
0.20426687,0.58888655,0.68317893,0.87377564,0.17788278,1
0.56952141,0.15918142,0.86764451,0.97842625,0.12826507,3
0.06449367,0.19044004,0.90069428,0.01117064,0.77160758,1
0.28484144,0.43999919,0.60891086,0.21453932,0.75158405,1
0.20046499,0.66629893,0.90976218,0.30447531,0.69496613,1
0.72385661,0.99785473,0.41384775,0.55901618,0.23209746,2
0.48339439,0.37592598,0.54731572,0.76864474,0.97161070,3
0.44852733,0.65139538,0.34804988,0.86267205,0.93311543,3
0.66432266,0.90535015,0.28472866,0.79134652,0.41569233,3
0.16649717,0.35077947,0.66540002,0.87593503,0.56624737,1
0.18877201,0.61659896,0.27852839,0.83183325,0.07081125,0
0.79952807,0.06238411,0.48090191,0.94179030,0.78005570,3
0.93755486,0.79281965,0.81750329,0.89450073,0.37403388,3
0.41159917,0.06777036,0.82648211,0.89962075,0.94100419,3
0.53520005,0.98849025,0.64133758,0.93086876,0.29933784,3
0.65076006,0.70735224,0.91953352,0.02334536,0.20531830,2
0.39426741,0.11249191,0.72689890,0.76253460,0.10806496,3
0.96529126,0.27072656,0.94000458,0.39460816,0.55358094,2
0.51178279,0.50320341,0.47674811,0.28874303,0.11012792,2
0.26480689,0.34079597,0.51070590,0.47928600,0.63703440,1
0.75723619,0.40808934,0.12881216,0.59811802,0.08561390,3
0.52551351,0.12832192,0.89075197,0.48213442,0.37480248,2
0.79401868,0.22643601,0.47901589,0.75634273,0.95416995,3
0.51384708,0.13176571,0.23338534,0.82646492,0.65681307,3
0.79472370,0.32996387,0.04278211,0.14819849,0.57003307,2
0.44087404,0.95950511,0.57580367,0.80148583,0.43631244,3
